split,sample_id,speaker,text_chars,semantic_tokens,audio_frames,duration,semantic_audio_ratio,sequence_length
train,ulsan_015124,DKSR20001159_2,7,5,19,1.45,0.2631578947368421,24
train,ulsan_001042,DKSR20000960_2,44,33,100,7.93,0.33,133
train,ulsan_006020,DKSR20001284_2,31,25,49,3.91,0.5102040816326531,74
train,ulsan_022644,DKSR20001570_1,23,16,40,3.13,0.4,56
train,ulsan_000910,DKSR20000959_1,53,32,85,6.77,0.3764705882352941,117
train,ulsan_024715,DKSR20000962_2,13,8,51,4.03,0.1568627450980392,59
train,ulsan_018989,DKSR20001491_2,3,2,14,1.05,0.14285714285714285,16
train,ulsan_023782,DKSR20000957_2,25,18,71,5.66,0.2535211267605634,89
train,ulsan_025802,DKSR20001157_1,44,27,58,4.64,0.46551724137931033,85
train,ulsan_012967,DKSR20001651_1,30,15,55,4.36,0.2727272727272727,70
train,ulsan_026904,DKSR20001203_1,19,11,45,3.56,0.24444444444444444,56
train,ulsan_005448,DKSR20001278_2,50,30,82,6.49,0.36585365853658536,112
train,ulsan_008614,DKSR20001475_2,48,32,69,5.52,0.463768115942029,101
train,ulsan_018984,DKSR20001491_2,14,11,23,1.79,0.4782608695652174,34
train,ulsan_004598,DKSR20001167_1,33,26,44,3.49,0.5909090909090909,70
train,ulsan_009760,DKSR20001536_1,16,10,35,2.73,0.2857142857142857,45
train,ulsan_018182,DKSR20001336_1,10,8,47,3.75,0.1702127659574468,55
train,ulsan_020478,DKSR20001511_2,26,22,45,3.57,0.4888888888888889,67
train,ulsan_011447,DKSR20001610_2,20,17,53,4.18,0.32075471698113206,70
train,ulsan_010953,DKSR20001608_1,6,5,19,1.49,0.2631578947368421,24
train,ulsan_022566,DKSR20001570_2,37,25,57,4.56,0.43859649122807015,82
train,ulsan_013939,DKSR20001031_2,25,14,31,2.48,0.45161290322580644,45
train,ulsan_003124,DKSR20001146_2,11,7,30,2.33,0.23333333333333334,37
train,ulsan_004989,DKSR20001168_2,18,12,24,1.87,0.5,36
train,ulsan_026261,DKSR20000975_2,15,9,71,5.63,0.1267605633802817,80
train,ulsan_009237,DKSR20001487_1,18,9,29,2.26,0.3103448275862069,38
train,ulsan_003594,DKSR20001147_1,18,14,51,4.08,0.27450980392156865,65
train,ulsan_027683,DKSR20001204_1,46,32,74,5.92,0.43243243243243246,106
train,ulsan_001759,DKSR20001131_1,23,18,50,3.96,0.36,68
train,ulsan_015907,DKSR20001202_2,56,41,76,6.01,0.5394736842105263,117
train,ulsan_001570,DKSR20001131_2,26,18,39,3.12,0.46153846153846156,57
train,ulsan_021428,DKSR20001537_1,33,23,73,5.84,0.3150684931506849,96
train,ulsan_004641,DKSR20001167_1,7,6,29,2.27,0.20689655172413793,35
train,ulsan_026810,DKSR20000979_2,23,14,41,3.21,0.34146341463414637,55
train,ulsan_013597,DKSR20001715_2,16,12,34,2.72,0.35294117647058826,46
train,ulsan_006547,DKSR20001285_1,42,26,68,5.37,0.38235294117647056,94
train,ulsan_003986,DKSR20001165_2,27,21,46,3.68,0.45652173913043476,67
train,ulsan_020627,DKSR20001512_1,19,16,46,3.66,0.34782608695652173,62
train,ulsan_024522,DKSR20000963_1,34,18,56,4.47,0.32142857142857145,74
train,ulsan_026490,DKSR20001158_2,12,7,40,3.16,0.175,47
train,ulsan_008124,DKSR20001353_1,55,33,85,6.77,0.38823529411764707,118
train,ulsan_022538,DKSR20001570_2,21,17,42,3.35,0.40476190476190477,59
train,ulsan_010948,DKSR20001608_1,11,9,30,2.37,0.3,39
train,ulsan_025791,DKSR20001157_1,38,24,52,4.12,0.46153846153846156,76
train,ulsan_009671,DKSR20001536_1,47,32,64,5.1,0.5,96
train,ulsan_012835,DKSR20001650_1,38,25,78,6.18,0.32051282051282054,103
train,ulsan_005007,DKSR20001168_1,40,23,70,5.57,0.32857142857142857,93
train,ulsan_005135,DKSR20001169_1,52,34,62,4.96,0.5483870967741935,96
train,ulsan_018035,DKSR20001336_2,36,26,72,5.76,0.3611111111111111,98
train,ulsan_020652,DKSR20001512_1,31,23,53,4.23,0.4339622641509434,76
train,ulsan_025151,DKSR20001156_1,21,17,43,3.37,0.3953488372093023,60
train,ulsan_007779,DKSR20001352_1,32,23,61,4.81,0.3770491803278688,84
train,ulsan_006253,DKSR20001285_1,18,14,42,3.34,0.3333333333333333,56
train,ulsan_002736,DKSR20001145_1,11,7,29,2.25,0.2413793103448276,36
train,ulsan_025039,DKSR20000973_1,44,26,67,5.31,0.3880597014925373,93
train,ulsan_006865,DKSR20001286_2,25,19,45,3.58,0.4222222222222222,64
train,ulsan_020280,DKSR20001511_2,31,23,69,5.46,0.3333333333333333,92
train,ulsan_008968,DKSR20001476_2,21,18,42,3.29,0.42857142857142855,60
train,ulsan_016458,DKSR20001207_2,31,21,58,4.62,0.3620689655172414,79
train,ulsan_019093,DKSR20001491_1,26,21,61,4.81,0.3442622950819672,82
train,ulsan_004773,DKSR20001168_2,38,18,56,4.42,0.32142857142857145,74
train,ulsan_027253,DKSR20000980_1,46,37,83,6.61,0.4457831325301205,120
train,ulsan_021853,DKSR20001568_2,14,8,52,4.1,0.15384615384615385,60
train,ulsan_015077,DKSR20001159_1,24,21,58,4.58,0.3620689655172414,79
train,ulsan_015595,DKSR20001160_2,17,13,31,2.42,0.41935483870967744,44
train,ulsan_016682,DKSR20001208_2,44,34,91,7.24,0.37362637362637363,125
train,ulsan_005205,DKSR20001169_2,13,10,33,2.57,0.30303030303030304,43
train,ulsan_000008,DKSR20000953_1,13,12,29,2.31,0.41379310344827586,41
train,ulsan_003488,DKSR20001147_1,22,18,40,3.19,0.45,58
train,ulsan_008089,DKSR20001353_2,24,15,42,3.36,0.35714285714285715,57
train,ulsan_021225,DKSR20001533_1,17,11,44,3.47,0.25,55
train,ulsan_020774,DKSR20001512_1,38,25,69,5.5,0.36231884057971014,94
train,ulsan_017371,DKSR20001287_1,25,20,52,4.13,0.38461538461538464,72
train,ulsan_021942,DKSR20001568_2,13,7,29,2.25,0.2413793103448276,36
train,ulsan_017237,DKSR20001241_2,14,11,52,4.15,0.21153846153846154,63
train,ulsan_002919,DKSR20001146_2,23,18,45,3.58,0.4,63
train,ulsan_021860,DKSR20001568_1,26,21,43,3.43,0.4883720930232558,64
train,ulsan_005047,DKSR20001169_2,13,12,26,2.08,0.46153846153846156,38
train,ulsan_005650,DKSR20001278_2,33,24,72,5.75,0.3333333333333333,96
train,ulsan_008123,DKSR20001353_1,39,26,62,4.92,0.41935483870967744,88
train,ulsan_003579,DKSR20001147_1,24,18,51,4.02,0.35294117647058826,69
train,ulsan_002801,DKSR20001145_2,6,3,21,1.63,0.14285714285714285,24
train,ulsan_014506,DKSR20001032_1,28,16,45,3.59,0.35555555555555557,61
train,ulsan_011409,DKSR20001610_2,15,12,37,2.94,0.32432432432432434,49
train,ulsan_001963,DKSR20001132_2,18,12,33,2.62,0.36363636363636365,45
train,ulsan_019335,DKSR20001507_2,21,17,39,3.08,0.4358974358974359,56
train,ulsan_015533,DKSR20001160_2,12,8,31,2.44,0.25806451612903225,39
train,ulsan_017022,DKSR20001240_2,23,16,42,3.3,0.38095238095238093,58
train,ulsan_005658,DKSR20001278_1,31,22,66,5.27,0.3333333333333333,88
train,ulsan_025681,DKSR20000974_2,9,5,24,1.85,0.20833333333333334,29
train,ulsan_003815,DKSR20001165_1,22,14,52,4.16,0.2692307692307692,66
train,ulsan_020123,DKSR20001510_1,17,14,39,3.12,0.358974358974359,53
train,ulsan_016442,DKSR20001207_1,15,10,38,2.98,0.2631578947368421,48
train,ulsan_024346,DKSR20000963_1,15,10,65,5.18,0.15384615384615385,75
train,ulsan_003522,DKSR20001147_2,13,9,32,2.5,0.28125,41
train,ulsan_026951,DKSR20001203_1,10,6,48,3.83,0.125,54
train,ulsan_016950,DKSR20001240_2,32,25,61,4.85,0.4098360655737705,86
train,ulsan_014968,DKSR20001033_2,34,20,37,2.96,0.5405405405405406,57
train,ulsan_025782,DKSR20001157_1,34,25,42,3.34,0.5952380952380952,67
train,ulsan_006306,DKSR20001285_2,19,14,24,1.92,0.5833333333333334,38
train,ulsan_027542,DKSR20001204_2,21,14,28,2.24,0.5,42
train,ulsan_027377,DKSR20000980_2,25,17,61,4.83,0.2786885245901639,78
train,ulsan_018256,DKSR20001380_1,22,15,39,3.08,0.38461538461538464,54
train,ulsan_001879,DKSR20001132_1,15,11,25,1.94,0.44,36
train,ulsan_025749,DKSR20001157_2,41,27,71,5.65,0.38028169014084506,98
train,ulsan_001046,DKSR20000960_2,36,27,75,5.93,0.36,102
train,ulsan_003566,DKSR20001147_2,22,14,39,3.09,0.358974358974359,53
train,ulsan_004287,DKSR20001166_2,48,31,70,5.56,0.44285714285714284,101
