split,id,speaker,text_chars,duration,rms,silence_fraction,clip_fraction
train,ulsan_015124,DKSR20001159_2,7,1.4500833333333334,0.2126573207331606,0.14924429630481006,0.0
train,ulsan_005448,DKSR20001278_2,50,6.49,0.15695513533788313,0.24676425269645608,0.0
train,ulsan_003124,DKSR20001146_2,11,2.33,0.1491876264271963,0.25234263233190274,0.0
train,ulsan_026810,DKSR20000979_2,23,3.21,0.11341814806490791,0.21172118380062305,0.0
train,ulsan_009671,DKSR20001536_1,47,5.1,0.14310397220126286,0.16338235294117648,0.0
train,ulsan_006865,DKSR20001286_2,25,3.58,0.13539421100519253,0.3995577281191806,0.0
train,ulsan_005205,DKSR20001169_2,13,2.57,0.15106552679826546,0.440272373540856,0.0
train,ulsan_005650,DKSR20001278_2,33,5.75,0.10760007764608377,0.38968840579710146,0.0
train,ulsan_025681,DKSR20000974_2,9,1.85,0.19172666751307924,0.31407657657657656,0.0
train,ulsan_027542,DKSR20001204_2,21,2.24,0.17128649143194857,0.21049107142857143,0.0
train,ulsan_023118,DKSR20000956_1,28,5.4,0.07364607918649183,0.32947530864197533,0.0
train,ulsan_017284,DKSR20001241_2,29,4.67,0.2502409630019323,0.20911848679514633,0.0
train,ulsan_000767,DKSR20000959_1,22,4.48,0.19582159078958877,0.2156063988095238,0.0
train,ulsan_010037,DKSR20001592_2,32,4.05,0.10818129994912737,0.313940329218107,0.0
train,ulsan_021215,DKSR20001533_1,47,8.26,0.14616205226813014,0.3142352703793382,0.0
train,ulsan_008238,DKSR20001413_1,25,6.53,0.11339747381204418,0.4947485962225625,0.0
train,ulsan_003607,DKSR20001149_1,44,6.55,0.1609758128725256,0.2932379134860051,0.0
train,ulsan_001471,DKSR20001094_2,23,3.3,0.11713222659376811,0.3212878787878788,0.0
train,ulsan_019227,DKSR20001507_2,10,2.29,0.1515055414357216,0.2467612809315866,0.0
train,ulsan_020087,DKSR20001510_1,23,3.16,0.13720367177189574,0.09940664556962026,0.0
train,ulsan_004068,DKSR20001165_1,36,5.24,0.1029798650195811,0.3219783715012723,0.0
train,ulsan_022469,DKSR20001570_1,18,2.31,0.16628824949309,0.16955266955266957,0.0
train,ulsan_022718,DKSR20001570_1,27,3.5,0.13601786932531598,0.07904761904761905,0.0
train,ulsan_021989,DKSR20001568_1,23,3.74,0.16053552090059064,0.23237522281639927,0.0
train,ulsan_010916,DKSR20001608_2,24,4.39,0.12015066091047043,0.5567767653758542,0.0
train,ulsan_025630,DKSR20000974_1,29,4.12,0.12023427544900837,0.19315331715210357,0.0
train,ulsan_009795,DKSR20001536_2,12,2.34,0.14788878648868156,0.26755698005698003,0.0
train,ulsan_018925,DKSR20001491_2,32,5.11,0.1242516781716859,0.37827788649706456,0.0
train,ulsan_017559,DKSR20001287_1,42,4.61,0.10897638064764424,0.24614063629790311,0.0
train,ulsan_025348,DKSR20001156_1,6,3.17,0.14213392101720754,0.5617902208201893,0.0
train,ulsan_021203,DKSR20001533_2,9,2.21,0.11832464309148492,0.3219457013574661,0.0
train,ulsan_005972,DKSR20001284_1,17,2.12,0.161910912760691,0.21092767295597484,0.0
train,ulsan_013634,DKSR20001715_2,27,5.46,0.1638507545967585,0.29025488400488403,0.0
train,ulsan_001589,DKSR20001131_2,25,3.51,0.14165969546050988,0.29239078822412157,0.0
train,ulsan_002277,DKSR20001144_2,38,4.03,0.11385252988792179,0.22673697270471463,0.0
train,ulsan_016680,DKSR20001208_2,33,5.3,0.14410052242338733,0.1957389937106918,0.0
train,ulsan_016915,DKSR20001240_1,26,4.34,0.21647046052677696,0.21581221198156683,0.0
train,ulsan_021464,DKSR20001537_1,34,6.97,0.11396359480909918,0.3950860832137733,0.0
train,ulsan_007356,DKSR20001348_2,27,5.97,0.12599407778201502,0.38789782244556115,0.0
train,ulsan_024601,DKSR20000962_2,27,5.92,0.12640843203154137,0.4098536036036036,0.0
train,ulsan_004326,DKSR20001166_1,30,5.94,0.14752685731131196,0.2422418630751964,0.0
train,ulsan_001376,DKSR20001094_2,16,2.75,0.11201035852661538,0.40874242424242424,0.0
train,ulsan_022066,DKSR20001569_1,23,3.97,0.11731587583777207,0.2514378673383711,0.0
train,ulsan_024071,DKSR20000961_2,37,6.54,0.1624222256960375,0.3157619775739042,0.0
train,ulsan_009715,DKSR20001536_1,34,3.31,0.18193861417812496,0.1365684793554884,0.0
train,ulsan_011886,DKSR20001617_1,27,5.0,0.1588379693709799,0.33521666666666666,0.0
train,ulsan_008484,DKSR20001475_2,40,3.45,0.06516339007707775,0.2896376811594203,0.0
train,ulsan_018672,DKSR20001387_1,62,8.8,0.12920920983379755,0.23580492424242425,0.0
train,ulsan_021941,DKSR20001568_2,16,2.29,0.17937106744859393,0.125127365356623,0.0
train,ulsan_012187,DKSR20001618_1,9,1.84,0.20962527905612335,0.2050498188405797,0.0
train,ulsan_023841,DKSR20000958_1,25,2.98,0.22142886148672522,0.12905480984340045,0.0
train,ulsan_026012,DKSR20001157_1,27,3.08,0.14941861923149619,0.30823863636363635,0.0
train,ulsan_003180,DKSR20001146_1,8,1.63,0.11911571900875927,0.4683282208588957,0.0
train,ulsan_003394,DKSR20001147_1,23,2.82,0.07459195112038551,0.45796394799054374,0.0
train,ulsan_003066,DKSR20001146_1,10,3.07,0.1251864810194405,0.35465526601520087,0.0
train,ulsan_000723,DKSR20000954_2,22,2.59,0.1574001103042061,0.3166023166023166,0.0
train,ulsan_013444,DKSR20001677_1,20,2.36,0.14658377037387757,0.31945621468926555,0.0
train,ulsan_007302,DKSR20001301_1,25,2.6,0.11172756255678884,0.2693108974358974,0.0
train,ulsan_011955,DKSR20001617_1,30,4.46,0.13584569451294123,0.36988041853512704,0.0
train,ulsan_023763,DKSR20000957_2,40,7.01,0.14315762333103982,0.32343081312410843,0.0
train,ulsan_007121,DKSR20001301_1,42,3.94,0.12139383923764518,0.29581218274111676,0.0
