epoch,sample_id,semantic_length,padded_length,position_shift,codec_ce,mean_accuracy,q0_accuracy,residual_accuracy,ar_mean_accuracy,ar_q0_accuracy
10,ulsan_000006,17,17,0,5.879927098751068,0.0494791679084301,0.1666666716337204,0.0416666679084301,0.0052083334885537624,0.02083333395421505
10,ulsan_000006,17,24,7,5.88023316860199,0.05078125,0.1666666716337204,0.04305555671453476,0.01171875,0.0833333358168602
10,ulsan_000006,17,36,19,5.881103307008743,0.0494791679084301,0.1666666716337204,0.0416666679084301,0.0052083334885537624,0.02083333395421505
10,ulsan_000006,17,48,31,5.877784878015518,0.0494791679084301,0.1666666716337204,0.0416666679084301,0.0065104165114462376,0.02083333395421505
10,ulsan_001200,38,38,0,6.357788503170013,0.029560811817646027,0.0810810849070549,0.026126127690076828,0.012668918818235397,0.04054053872823715
10,ulsan_001200,38,48,10,6.353430867195129,0.030405405908823013,0.0810810849070549,0.027027027681469917,0.012668918818235397,0.04054053872823715
10,ulsan_002358,18,18,0,6.214818388223648,0.04755434766411781,0.1304347813129425,0.04202898591756821,0.016304347664117813,0.021739130839705467
10,ulsan_002358,18,24,6,6.2083644568920135,0.052989132702350616,0.17391304671764374,0.04492753744125366,0.01222826074808836,0.021739130839705467
10,ulsan_002358,18,36,18,6.207921504974365,0.050271738320589066,0.15217392146587372,0.043478261679410934,0.01222826074808836,0.021739130839705467
10,ulsan_002358,18,48,30,6.210384339094162,0.04891304299235344,0.1304347813129425,0.043478261679410934,0.01222826074808836,0.021739130839705467
10,ulsan_003467,6,6,0,5.817051082849503,0.08125000447034836,0.15000000596046448,0.07666666805744171,0.01875000074505806,0.05000000074505806
10,ulsan_003467,6,24,18,5.786888912320137,0.07187499850988388,0.15000000596046448,0.06666667014360428,0.01875000074505806,0.05000000074505806
10,ulsan_003467,6,36,30,5.78404937684536,0.078125,0.15000000596046448,0.07333333790302277,0.01875000074505806,0.05000000074505806
10,ulsan_003467,6,48,42,5.784293115139008,0.07187499850988388,0.15000000596046448,0.06666667014360428,0.02500000037252903,0.05000000074505806
10,ulsan_004340,18,18,0,5.38264474272728,0.11968084424734116,0.10638297349214554,0.12056737393140793,0.05452127754688263,0.10638298094272614
10,ulsan_004340,18,24,6,5.3773923218250275,0.11702127009630203,0.10638297349214554,0.11773049086332321,0.05452127754688263,0.10638298094272614
10,ulsan_004340,18,36,18,5.379368931055069,0.1183510571718216,0.12765957415103912,0.11773049086332321,0.05452127754688263,0.10638298094272614
10,ulsan_004340,18,48,30,5.376006662845612,0.12101063132286072,0.12765957415103912,0.12056737393140793,0.05452127754688263,0.10638298094272614
10,ulsan_005296,5,5,0,5.522918462753296,0.09210526198148727,0.15789473056793213,0.08771929889917374,0.01315789483487606,0.05263157933950424
10,ulsan_005296,5,24,19,5.494466185569763,0.11184210330247879,0.31578946113586426,0.09824561327695847,0.03947368264198303,0.05263157933950424
10,ulsan_005296,5,36,31,5.501412481069565,0.10855263471603394,0.2631579041481018,0.09824561327695847,0.03947368264198303,0.05263157933950424
10,ulsan_005296,5,48,43,5.504777491092682,0.10526315867900848,0.2631579041481018,0.09473684430122375,0.03947368264198303,0.05263157933950424
10,ulsan_006119,4,4,0,5.8061769008636475,0.0773809552192688,0.190476194024086,0.06984127312898636,0.01785714365541935,0.0476190485060215
10,ulsan_006119,4,24,20,5.803266137838364,0.0714285746216774,0.190476194024086,0.0634920671582222,0.01785714365541935,0.0476190485060215
10,ulsan_006119,4,36,32,5.802739202976227,0.0684523805975914,0.190476194024086,0.06031746044754982,0.01785714365541935,0.0476190485060215
10,ulsan_006119,4,48,44,5.803873270750046,0.0744047611951828,0.190476194024086,0.06666667014360428,0.01785714365541935,0.0476190485060215
10,ulsan_006938,32,32,0,6.206741750240326,0.04545454680919647,0.1931818276643753,0.035606060177087784,0.007102272938936949,0.011363636702299118
10,ulsan_006938,32,36,4,6.205516695976257,0.046875,0.20454546809196472,0.036363635212183,0.004261363763362169,0.011363636702299118
10,ulsan_006938,32,48,16,6.206443607807159,0.04758523032069206,0.20454546809196472,0.037121210247278214,0.004261363763362169,0.011363636702299118
10,ulsan_007964,19,19,0,6.308120995759964,0.033203125,0.171875,0.02395833469927311,0.001953125,0.015625
10,ulsan_007964,19,24,5,6.312279552221298,0.033203125,0.171875,0.02395833469927311,0.001953125,0.015625
10,ulsan_007964,19,36,17,6.310767710208893,0.0341796875,0.1875,0.02395833469927311,0.0009765625,0.015625
