epoch,left,right,overlap_frames,mean_token_agreement,q0_agreement,residual_agreement,exact_sequence_same
10,1,2,100,0.6556249856948853,0.7400000095367432,0.6499999761581421,False
10,1,3,100,0.6456249952316284,0.800000011920929,0.6353333592414856,False
10,1,4,100,0.37562501430511475,0.07000000029802322,0.3959999978542328,False
10,1,5,100,0.19374999403953552,0.07000000029802322,0.20200000703334808,False
10,1,6,100,0.9424999952316284,1.0,0.9386666417121887,False
10,1,7,100,0.46812498569488525,0.9800000190734863,0.4339999854564667,False
10,1,8,100,0.37687501311302185,0.10000000149011612,0.39533331990242004,False
10,1,9,100,0.6943749785423279,0.9200000166893005,0.6793333292007446,False
10,1,10,100,0.925000011920929,1.0,0.9200000166893005,False
10,1,11,100,0.5674999952316284,0.7099999785423279,0.5580000281333923,False
10,1,12,100,0.9237499833106995,0.9200000166893005,0.9240000247955322,False
10,1,13,100,0.9012500047683716,0.9900000095367432,0.8953333497047424,False
10,1,14,100,0.4868749976158142,0.07000000029802322,0.5146666765213013,False
10,1,15,80,0.21875,0.11249999701976776,0.22583332657814026,False
10,1,16,100,0.23937499523162842,0.09000000357627869,0.24933333694934845,False
10,1,17,100,0.6787499785423279,0.8899999856948853,0.6646666526794434,False
10,1,18,32,0.208984375,0.28125,0.20416666567325592,False
10,1,19,100,0.699999988079071,0.8600000143051147,0.6893333196640015,False
10,1,20,100,0.4699999988079071,0.9700000286102295,0.43666666746139526,False
10,2,3,100,0.9468749761581421,0.9399999976158142,0.9473333358764648,False
10,2,4,100,0.41499999165534973,0.07000000029802322,0.43799999356269836,False
10,2,5,100,0.22374999523162842,0.07000000029802322,0.23399999737739563,False
10,2,6,100,0.6512500047683716,0.7400000095367432,0.6453333497047424,False
10,2,7,100,0.5487499833106995,0.7400000095367432,0.5360000133514404,False
10,2,8,100,0.3981249928474426,0.09000000357627869,0.41866666078567505,False
10,2,9,100,0.8043749928474426,0.800000011920929,0.8046666383743286,False
10,2,10,100,0.6743749976158142,0.7400000095367432,0.6700000166893005,False
10,2,11,100,0.8837500214576721,0.9700000286102295,0.878000020980835,False
10,2,12,100,0.6600000262260437,0.6800000071525574,0.6586666703224182,False
10,2,13,100,0.6656249761581421,0.7300000190734863,0.6613333225250244,False
10,2,14,100,0.5843750238418579,0.07000000029802322,0.6186666488647461,False
10,2,15,80,0.18359375,0.11249999701976776,0.18833333253860474,False
10,2,16,100,0.19687500596046448,0.09000000357627869,0.20399999618530273,False
10,2,17,100,0.8787500262260437,0.8500000238418579,0.8806666731834412,False
10,2,18,32,0.16796875,0.28125,0.16041666269302368,False
10,2,19,100,0.8168749809265137,0.8799999952316284,0.812666654586792,False
10,2,20,100,0.5475000143051147,0.75,0.5339999794960022,False
10,3,4,100,0.39937499165534973,0.07000000029802322,0.42133334279060364,False
10,3,5,100,0.23250000178813934,0.07000000029802322,0.2433333396911621,False
10,3,6,100,0.6431249976158142,0.800000011920929,0.6326666474342346,False
10,3,7,100,0.5443750023841858,0.800000011920929,0.5273333191871643,False
10,3,8,100,0.3987500071525574,0.09000000357627869,0.4193333387374878,False
10,3,9,100,0.7906249761581421,0.8600000143051147,0.7860000133514404,False
10,3,10,100,0.6656249761581421,0.800000011920929,0.6566666960716248,False
10,3,11,100,0.8943750262260437,0.9100000262260437,0.8933333158493042,False
10,3,12,100,0.6474999785423279,0.7400000095367432,0.6413333415985107,False
10,3,13,100,0.6650000214576721,0.7900000214576721,0.6566666960716248,False
10,3,14,100,0.5699999928474426,0.07000000029802322,0.6033333539962769,False
10,3,15,80,0.18671874701976776,0.11249999701976776,0.19166666269302368,False
10,3,16,100,0.19750000536441803,0.09000000357627869,0.20466665923595428,False
10,3,17,100,0.8849999904632568,0.9100000262260437,0.8833333253860474,False
10,3,18,32,0.173828125,0.28125,0.1666666716337204,False
10,3,19,100,0.8149999976158142,0.9399999976158142,0.8066666722297668,False
